id_ccbh,interpro_go_id
PA4851_00005,F:GO:0003677
PA4851_00005,F:GO:0003688
PA4851_00005,F:GO:0005524
PA4851_00005,P:GO:0006270
PA4851_00005,P:GO:0006275
PA4851_00005,F:GO:0043565
PA4851_00010,F:GO:0003677
PA4851_00010,F:GO:0003887
PA4851_00010,P:GO:0006260
PA4851_00010,F:GO:0008408
PA4851_00010,C:GO:0009360
PA4851_00015,F:GO:0003697
PA4851_00015,F:GO:0005524
PA4851_00015,P:GO:0006281
PA4851_00020,F:GO:0003677
PA4851_00020,F:GO:0003918
PA4851_00020,F:GO:0005524
PA4851_00020,C:GO:0005694
PA4851_00020,P:GO:0006265
PA4851_00025,F:GO:0003677
PA4851_00025,F:GO:0004803
PA4851_00025,P:GO:0006313
PA4851_00030,F:GO:0003676
PA4851_00030,P:GO:0015074
PA4851_00030,P:GO:0032196
PA4851_00035,no GO terms
PA4851_00040,F:GO:0005524
PA4851_00045,no GO terms
PA4851_00050,no IPS match
PA4851_00055,F:GO:0016746
PA4851_00060,P:GO:0005975
PA4851_00060,F:GO:0016791
PA4851_00065,F:GO:0009055
PA4851_00065,F:GO:0020037
PA4851_00070,F:GO:0000166
PA4851_00070,F:GO:0004814
PA4851_00070,F:GO:0004820
PA4851_00070,F:GO:0005524
PA4851_00070,C:GO:0005737
PA4851_00070,P:GO:0006420
PA4851_00070,P:GO:0006426
PA4851_00075,F:GO:0000166
PA4851_00075,F:GO:0004820
PA4851_00075,F:GO:0005524
PA4851_00075,C:GO:0005737
PA4851_00075,P:GO:0006426
PA4851_00080,F:GO:0003824
PA4851_00080,P:GO:0006281
PA4851_00080,P:GO:0006284
PA4851_00080,F:GO:0008725
PA4851_00085,C:GO:0016021
PA4851_00085,F:GO:0016740
PA4851_00090,F:GO:0035438
PA4851_00095,P:GO:1990397
PA4851_00100,no IPS match
PA4851_00105,F:GO:0005515
PA4851_00110,C:GO:0005886
PA4851_00110,P:GO:0006813
PA4851_00110,F:GO:0008324
PA4851_00110,F:GO:0015079
PA4851_00115,F:GO:0003723
PA4851_00115,P:GO:0006355
PA4851_00115,P:GO:0006364
PA4851_00115,F:GO:0008168
PA4851_00115,F:GO:0008649
PA4851_00120,F:GO:0003824
PA4851_00120,F:GO:0004479
PA4851_00120,P:GO:0009058
PA4851_00120,F:GO:0016742
PA4851_00120,P:GO:0071951
PA4851_00125,no GO terms
PA4851_00130,no GO terms
PA4851_00135,P:GO:0009294
PA4851_00140,P:GO:0002949
PA4851_00140,F:GO:0003725
PA4851_00140,F:GO:0005524
PA4851_00145,F:GO:0016491
PA4851_00145,P:GO:0055114
PA4851_00150,F:GO:0004109
PA4851_00150,P:GO:0006779
PA4851_00150,P:GO:0055114
PA4851_00155,F:GO:0004764
PA4851_00155,P:GO:0019632
PA4851_00155,F:GO:0050661
PA4851_00155,P:GO:0055114
PA4851_00160,F:GO:0004629
PA4851_00160,F:GO:0008270
PA4851_00160,F:GO:0016788
PA4851_00165,F:GO:0003755
PA4851_00170,no GO terms
PA4851_00175,F:GO:0008271
PA4851_00175,P:GO:0008272
PA4851_00175,F:GO:0015116
PA4851_00175,C:GO:0016020
PA4851_00175,C:GO:0016021
PA4851_00175,P:GO:0055085
PA4851_00180,P:GO:0015871
PA4851_00180,F:GO:0022857
PA4851_00180,F:GO:0033265
PA4851_00180,C:GO:0042597
PA4851_00180,C:GO:0043190
PA4851_00180,P:GO:0055085
PA4851_00185,F:GO:0003824
PA4851_00185,F:GO:0008484
PA4851_00190,F:GO:0003700
PA4851_00190,P:GO:0006355
PA4851_00195,P:GO:0000160
PA4851_00200,P:GO:0000160
PA4851_00205,F:GO:0003824
PA4851_00205,F:GO:0004834
PA4851_00205,P:GO:0006568
PA4851_00210,P:GO:0000162
PA4851_00210,F:GO:0004834
PA4851_00210,P:GO:0006568
PA4851_00215,F:GO:0003700
PA4851_00215,P:GO:0006355
PA4851_00220,no GO terms
PA4851_00225,no GO terms
PA4851_00230,P:GO:0015031
PA4851_00235,no GO terms
PA4851_00240,no GO terms
PA4851_00245,C:GO:0016020
PA4851_00250,F:GO:0005096
PA4851_00250,C:GO:0005576
PA4851_00250,P:GO:0009405
PA4851_00255,C:GO:0030288
PA4851_00260,no GO terms
PA4851_00265,no GO terms
PA4851_00270,F:GO:0003677
PA4851_00270,F:GO:0043565
PA4851_00275,no GO terms
PA4851_00280,no IPS match
PA4851_00285,F:GO:0004066
PA4851_00285,P:GO:0006529
PA4851_00290,no GO terms
PA4851_00295,P:GO:0006388
PA4851_00295,F:GO:0016772
PA4851_00295,F:GO:0016773
PA4851_00300,no GO terms
PA4851_00305,F:GO:0003700
PA4851_00305,P:GO:0006355
PA4851_00310,no GO terms
PA4851_00315,F:GO:0015035
PA4851_00320,F:GO:0004601
PA4851_00320,P:GO:0006979
PA4851_00325,no GO terms
PA4851_00330,no GO terms
PA4851_00335,no GO terms
PA4851_00340,no GO terms
PA4851_00345,no IPS match
PA4851_00350,no GO terms
PA4851_00355,no GO terms
PA4851_00360,F:GO:0004222
PA4851_00360,P:GO:0006508
PA4851_00360,F:GO:0008233
PA4851_00365,no GO terms
PA4851_00370,F:GO:0003824
PA4851_00370,F:GO:0051536
PA4851_00375,no GO terms
PA4851_00380,no GO terms
PA4851_00385,no GO terms
PA4851_00390,F:GO:0005524
PA4851_00390,F:GO:0016887
PA4851_00395,F:GO:0004672
PA4851_00395,F:GO:0005524
PA4851_00395,P:GO:0006468
PA4851_00400,F:GO:0003824
PA4851_00400,F:GO:0004722
PA4851_00400,P:GO:0006470
PA4851_00405,no GO terms
PA4851_00410,no GO terms
PA4851_00415,no GO terms
PA4851_00420,no GO terms
PA4851_00425,no GO terms
PA4851_00430,F:GO:0005515
PA4851_00435,no GO terms
PA4851_00440,no GO terms
PA4851_00445,no GO terms
PA4851_00450,no GO terms
PA4851_00455,F:GO:0005515
PA4851_00460,no GO terms
PA4851_00465,no GO terms
PA4851_00470,no GO terms
PA4851_00475,F:GO:0005524
PA4851_00475,P:GO:0019538
PA4851_00480,no GO terms
PA4851_00485,no IPS match
PA4851_00490,no GO terms
PA4851_00495,no GO terms
PA4851_00500,no GO terms
PA4851_00505,no IPS match
PA4851_00510,no GO terms
PA4851_00515,F:GO:0003824
PA4851_00520,no GO terms
PA4851_00525,no GO terms
PA4851_00530,no GO terms
PA4851_00535,F:GO:0004089
PA4851_00535,F:GO:0008270
PA4851_00540,F:GO:0008271
PA4851_00540,P:GO:0008272
PA4851_00540,F:GO:0015116
PA4851_00540,C:GO:0016020
PA4851_00540,C:GO:0016021
PA4851_00540,P:GO:0055085
PA4851_00545,no IPS match
PA4851_00550,F:GO:0004129
PA4851_00550,F:GO:0005507
PA4851_00550,F:GO:0009055
PA4851_00550,C:GO:0016020
PA4851_00550,C:GO:0016021
PA4851_00550,F:GO:0016491
PA4851_00550,F:GO:0020037
PA4851_00550,P:GO:0022900
PA4851_00555,F:GO:0004129
PA4851_00555,C:GO:0005886
PA4851_00555,P:GO:0009060
PA4851_00555,P:GO:0015990
PA4851_00555,C:GO:0016021
PA4851_00555,F:GO:0020037
PA4851_00555,C:GO:0045277
PA4851_00555,P:GO:0055114
