enzyme_code,enzyme_name
EC:2.7.7.7,DNA-directed DNA polymerase
EC:3.6.1.3,Adenosinetriphosphatase
EC:5.99.1.3,DNA topoisomerase (ATP-hydrolyzing)
EC:3.6.1.15,Nucleoside-triphosphate phosphatase
EC:3.1.3.41,4-nitrophenylphosphatase
EC:6.1.1.14,Glycine--tRNA ligase
EC:6.1.1.19,Arginine--tRNA ligase
EC:2.1.2.9,Methionyl-tRNA formyltransferase
EC:3.5.1.88,Peptide deformylase
EC:2.7.7.87,L-threonylcarbamoyladenylate synthase
EC:1.3.1.74,2-alkenal reductase (NAD(P)(+))
EC:1.6.5.5,NADPH:quinone reductase
EC:1.3.3.3,Coproporphyrinogen oxidase
EC:1.1.1.25,Shikimate dehydrogenase
EC:1.1.1.282,Quinate/shikimate dehydrogenase
EC:4.2.1.20,Tryptophan synthase
EC:1.11.1.15,Peroxiredoxin
EC:1.11.1.7,Peroxidase
EC:2.7.10,Transferring phosphorus-containing groups
EC:3.1.3.5,5'-nucleotidase
EC:3.1.3.31,Nucleotidase
EC:4.2.1.1,Carbonic anhydrase
EC:3.4.24,Acting on peptide bonds (peptidases)
EC:3.6.3.44,Xenobiotic-transporting ATPase
EC:2.7.11,Transferring phosphorus-containing groups
EC:3.1.3.16,Protein-serine/threonine phosphatase
EC:1.9.3.1,Cytochrome-c oxidase
EC:2.5.1.29,Geranylgeranyl diphosphate synthase
EC:1.2.1.27,Methylmalonate-semialdehyde dehydrogenase (CoA acylating)
EC:1.2.1.18,Malonate-semialdehyde dehydrogenase (acetylating)
EC:2.6.1.62,Adenosylmethionine--8-amino-7-oxononanoate transaminase
EC:2.6.1.18,Beta-alanine--pyruvate transaminase
EC:3.5.4.3,Guanine deaminase
EC:1.11.1,Acting on a peroxide as acceptor
EC:2.7.4.1,Polyphosphate kinase
EC:3.5.4.32,8-oxoguanine deaminase
EC:3.2.2.8,Ribosylpyrimidine nucleosidase
EC:1.14.11,"Acting on paired donors, with incorporation or reduction of molecular oxygen. The oxygen incorporated need not be derived from O(2)"
EC:1.14.11.13,Gibberellin 2-beta-dioxygenase
EC:3.5.4.2,Adenine deaminase
EC:1.13.11,Acting on single donors with incorporation of molecular oxygen (oxygenases). The oxygen incorporated need not be derived from O(2)
EC:1.13.11.3,"Protocatechuate 3,4-dioxygenase"
EC:2.7.7.65,Diguanylate cyclase
EC:3.1.1.61,Protein-glutamate methylesterase
