blast2go_go_id,blast2go_go_name
F:GO:0003688,F:DNA replication origin binding
F:GO:0005524,F:ATP binding
C:GO:0005737,C:cytoplasm
C:GO:0005886,C:plasma membrane
P:GO:0006270,P:DNA replication initiation
P:GO:0006275,P:regulation of DNA replication
F:GO:0003677,F:DNA binding
F:GO:0003887,F:DNA-directed DNA polymerase activity
C:GO:0005829,C:cytosol
P:GO:0006271,P:DNA strand elongation involved in DNA replication
P:GO:0006974,P:cellular response to DNA damage stimulus
F:GO:0008408,F:3'-5' exonuclease activity
C:GO:0009360,C:DNA polymerase III complex
F:GO:0042802,F:identical protein binding
P:GO:0071897,P:DNA biosynthetic process
P:GO:0090305,P:nucleic acid phosphodiester bond hydrolysis
P:GO:0000731,P:DNA synthesis involved in DNA repair
F:GO:0003697,F:single-stranded DNA binding
F:GO:0005524,F:ATP binding
C:GO:0005737,C:cytoplasm
P:GO:0006260,P:DNA replication
P:GO:0006302,P:double-strand break repair
P:GO:0009432,P:SOS response
F:GO:0003677,F:DNA binding
F:GO:0005515,F:protein binding
F:GO:0005524,F:ATP binding
C:GO:0005694,C:chromosome
C:GO:0005829,C:cytosol
P:GO:0006261,P:DNA-dependent DNA replication
P:GO:0006265,P:DNA topological change
P:GO:0006351,"P:transcription, DNA-templated"
C:GO:0009330,C:DNA topoisomerase complex (ATP-hydrolyzing)
F:GO:0034335,F:DNA supercoiling activity
P:GO:0042493,P:response to drug
P:GO:0046677,P:response to antibiotic
F:GO:0046872,F:metal ion binding
P:GO:0006310,P:DNA recombination
P:GO:0032196,P:transposition
F:GO:0005515,F:protein binding
P:GO:0006259,P:DNA metabolic process
P:GO:0032196,P:transposition
,
F:GO:0000166,F:nucleotide binding
F:GO:0003677,F:DNA binding
F:GO:0004386,F:helicase activity
F:GO:0005524,F:ATP binding
P:GO:0006355,"P:regulation of transcription, DNA-templated"
F:GO:0016787,F:hydrolase activity
F:GO:0016817,"F:hydrolase activity, acting on acid anhydrides"
,
,
C:GO:0005783,C:endoplasmic reticulum
C:GO:0009507,C:chloroplast
C:GO:0016020,C:membrane
F:GO:0016746,"F:transferase activity, transferring acyl groups"
C:GO:0044446,C:intracellular organelle part
P:GO:0046474,P:glycerophospholipid biosynthetic process
P:GO:0048518,P:positive regulation of biological process
P:GO:0048856,P:anatomical structure development
F:GO:0000287,F:magnesium ion binding
C:GO:0005829,C:cytosol
F:GO:0008270,F:zinc ion binding
P:GO:0009244,P:lipopolysaccharide core region biosynthetic process
P:GO:0016311,P:dephosphorylation
F:GO:0034200,"F:D,D-heptose 1,7-bisphosphate phosphatase activity"
P:GO:0097171,P:ADP-L-glycero-beta-D-manno-heptose biosynthetic process
F:GO:0009055,F:electron transfer activity
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
F:GO:0020037,F:heme binding
P:GO:0022900,P:electron transport chain
F:GO:0046872,F:metal ion binding
P:GO:0055114,P:oxidation-reduction process
F:GO:0004814,F:arginine-tRNA ligase activity
F:GO:0004820,F:glycine-tRNA ligase activity
F:GO:0005524,F:ATP binding
C:GO:0005829,C:cytosol
