id_ccbh,blast2go_go_id,blast2go_e_value,blast2go_hits
PA4851_00005,F:GO:0003688,0.0,20
PA4851_00005,F:GO:0005524,0.0,20
PA4851_00005,C:GO:0005737,0.0,20
PA4851_00005,C:GO:0005886,0.0,20
PA4851_00005,P:GO:0006270,0.0,20
PA4851_00005,P:GO:0006275,0.0,20
PA4851_00010,F:GO:0003677,0.0,20
PA4851_00010,F:GO:0003887,0.0,20
PA4851_00010,C:GO:0005829,0.0,20
PA4851_00010,P:GO:0006271,0.0,20
PA4851_00010,P:GO:0006974,0.0,20
PA4851_00010,F:GO:0008408,0.0,20
PA4851_00010,C:GO:0009360,0.0,20
PA4851_00010,F:GO:0042802,0.0,20
PA4851_00010,P:GO:0071897,0.0,20
PA4851_00010,P:GO:0090305,0.0,20
PA4851_00015,P:GO:0000731,0.0,20
PA4851_00015,F:GO:0003697,0.0,20
PA4851_00015,F:GO:0005524,0.0,20
PA4851_00015,C:GO:0005737,0.0,20
PA4851_00015,P:GO:0006260,0.0,20
PA4851_00015,P:GO:0006302,0.0,20
PA4851_00015,P:GO:0009432,0.0,20
PA4851_00020,F:GO:0003677,0.0,20
PA4851_00020,F:GO:0005515,0.0,20
PA4851_00020,F:GO:0005524,0.0,20
PA4851_00020,C:GO:0005694,0.0,20
PA4851_00020,C:GO:0005829,0.0,20
PA4851_00020,P:GO:0006261,0.0,20
PA4851_00020,P:GO:0006265,0.0,20
PA4851_00020,P:GO:0006351,0.0,20
PA4851_00020,C:GO:0009330,0.0,20
PA4851_00020,F:GO:0034335,0.0,20
PA4851_00020,P:GO:0042493,0.0,20
PA4851_00020,P:GO:0046677,0.0,20
PA4851_00020,F:GO:0046872,0.0,20
PA4851_00025,P:GO:0006310,3.83772E-33,5
PA4851_00025,P:GO:0032196,3.83772E-33,5
PA4851_00030,F:GO:0005515,5.01107E-52,20
PA4851_00030,P:GO:0006259,5.01107E-52,20
PA4851_00030,P:GO:0032196,5.01107E-52,20
PA4851_00035,,,
PA4851_00040,F:GO:0000166,2.3607E-54,20
PA4851_00040,F:GO:0003677,2.3607E-54,20
PA4851_00040,F:GO:0004386,2.3607E-54,20
PA4851_00040,F:GO:0005524,2.3607E-54,20
PA4851_00040,P:GO:0006355,2.3607E-54,20
PA4851_00040,F:GO:0016787,2.3607E-54,20
PA4851_00040,F:GO:0016817,2.3607E-54,20
PA4851_00045,,,
PA4851_00050,,,
PA4851_00055,C:GO:0005783,2.21911E-22,20
PA4851_00055,C:GO:0009507,2.21911E-22,20
PA4851_00055,C:GO:0016020,2.21911E-22,20
PA4851_00055,F:GO:0016746,2.21911E-22,20
PA4851_00055,C:GO:0044446,2.21911E-22,20
PA4851_00055,P:GO:0046474,2.21911E-22,20
PA4851_00055,P:GO:0048518,2.21911E-22,20
PA4851_00055,P:GO:0048856,2.21911E-22,20
PA4851_00060,F:GO:0000287,4.63089E-128,20
PA4851_00060,C:GO:0005829,4.63089E-128,20
PA4851_00060,F:GO:0008270,4.63089E-128,20
PA4851_00060,P:GO:0009244,4.63089E-128,20
PA4851_00060,P:GO:0016311,4.63089E-128,20
PA4851_00060,F:GO:0034200,4.63089E-128,20
PA4851_00060,P:GO:0097171,4.63089E-128,20
PA4851_00065,F:GO:0009055,4.87229E-47,2
PA4851_00065,C:GO:0016020,4.87229E-47,2
PA4851_00065,C:GO:0016021,4.87229E-47,2
PA4851_00065,F:GO:0020037,4.87229E-47,2
PA4851_00065,P:GO:0022900,4.87229E-47,2
PA4851_00065,F:GO:0046872,4.87229E-47,2
PA4851_00065,P:GO:0055114,4.87229E-47,2
PA4851_00070,F:GO:0004814,0.0,20
PA4851_00070,F:GO:0004820,0.0,20
PA4851_00070,F:GO:0005524,0.0,20
PA4851_00070,C:GO:0005829,0.0,20
PA4851_00070,P:GO:0006420,0.0,20
PA4851_00070,P:GO:0006426,0.0,20
PA4851_00075,F:GO:0004820,0.0,20
PA4851_00075,F:GO:0005524,0.0,20
PA4851_00075,C:GO:0005737,0.0,20
PA4851_00075,P:GO:0006426,0.0,20
PA4851_00080,F:GO:0005515,1.33304E-63,3
PA4851_00080,P:GO:0006139,1.33304E-63,3
PA4851_00080,P:GO:0006974,1.33304E-63,3
PA4851_00080,F:GO:0016787,1.33304E-63,3
PA4851_00085,P:GO:0008610,2.72622E-30,9
PA4851_00085,C:GO:0016020,2.72622E-30,9
PA4851_00085,P:GO:0016051,2.72622E-30,9
PA4851_00085,F:GO:0016747,2.72622E-30,9
PA4851_00085,P:GO:0044249,2.72622E-30,9
PA4851_00085,P:GO:0044255,2.72622E-30,9
PA4851_00085,C:GO:0071944,2.72622E-30,9
PA4851_00085,P:GO:1901137,2.72622E-30,9
PA4851_00085,P:GO:1903509,2.72622E-30,9
PA4851_00090,,,
PA4851_00095,C:GO:0005887,9.11281E-87,3
PA4851_00095,F:GO:0022857,9.11281E-87,3
PA4851_00095,P:GO:0072531,9.11281E-87,3
PA4851_00095,P:GO:1990397,9.11281E-87,3
PA4851_00100,,,
PA4851_00105,,5.44801E-71,1
PA4851_00110,F:GO:0005515,0.0,20
PA4851_00110,C:GO:0005886,0.0,20
PA4851_00110,F:GO:0015079,0.0,20
PA4851_00110,P:GO:0071805,0.0,20
PA4851_00115,F:GO:0003723,0.0,20
PA4851_00115,C:GO:0005829,0.0,20
PA4851_00115,P:GO:0006355,0.0,20
PA4851_00115,F:GO:0009383,0.0,20
PA4851_00115,P:GO:0070475,0.0,20
PA4851_00120,F:GO:0004479,0.0,20
PA4851_00120,C:GO:0005829,0.0,20
PA4851_00120,P:GO:0006413,0.0,20
PA4851_00120,P:GO:0022898,0.0,20
PA4851_00120,P:GO:0071951,0.0,20
PA4851_00125,P:GO:0006412,5.54888E-123,20
PA4851_00125,P:GO:0018206,5.54888E-123,20
PA4851_00125,P:GO:0031365,5.54888E-123,20
PA4851_00125,F:GO:0042586,5.54888E-123,20
PA4851_00125,P:GO:0043686,5.54888E-123,20
PA4851_00125,F:GO:0046872,5.54888E-123,20
PA4851_00130,,1.17986E-5,2
PA4851_00135,F:GO:0005515,5.58007E-75,8
PA4851_00135,P:GO:0030420,5.58007E-75,8
PA4851_00140,F:GO:0000049,8.63966E-133,20
PA4851_00140,P:GO:0002949,8.63966E-133,20
PA4851_00140,F:GO:0003725,8.63966E-133,20
PA4851_00140,F:GO:0005524,8.63966E-133,20
PA4851_00140,C:GO:0005737,8.63966E-133,20
PA4851_00140,P:GO:0006450,8.63966E-133,20
PA4851_00140,F:GO:0061710,8.63966E-133,20
PA4851_00145,F:GO:0003960,0.0,20
PA4851_00145,F:GO:0005515,0.0,20
PA4851_00145,C:GO:0005829,0.0,20
PA4851_00145,F:GO:0008270,0.0,20
PA4851_00145,F:GO:0017091,0.0,20
PA4851_00145,F:GO:0032440,0.0,20
PA4851_00145,P:GO:0034599,0.0,20
PA4851_00145,P:GO:0042206,0.0,20
PA4851_00145,F:GO:0043168,0.0,20
