interpro_go_id,interpro_go_name
F:GO:0003677,F:DNA binding
F:GO:0003688,F:DNA replication origin binding
F:GO:0005524,F:ATP binding
P:GO:0006270,P:DNA replication initiation
P:GO:0006275,P:regulation of DNA replication
F:GO:0043565,F:sequence-specific DNA binding
F:GO:0003677,F:DNA binding
F:GO:0003887,F:DNA-directed DNA polymerase activity
P:GO:0006260,P:DNA replication
F:GO:0008408,F:3'-5' exonuclease activity
C:GO:0009360,C:DNA polymerase III complex
F:GO:0003697,F:single-stranded DNA binding
F:GO:0005524,F:ATP binding
P:GO:0006281,P:DNA repair
F:GO:0003677,F:DNA binding
F:GO:0003918,F:DNA topoisomerase type II (ATP-hydrolyzing) activity
F:GO:0005524,F:ATP binding
C:GO:0005694,C:chromosome
P:GO:0006265,P:DNA topological change
F:GO:0003677,F:DNA binding
F:GO:0004803,F:transposase activity
P:GO:0006313,"P:transposition, DNA-mediated"
F:GO:0003676,F:nucleic acid binding
P:GO:0015074,P:DNA integration
P:GO:0032196,P:transposition
no GO terms,no GO terms
F:GO:0005524,F:ATP binding
no GO terms,no GO terms
no IPS match,no IPS match
F:GO:0016746,"F:transferase activity, transferring acyl groups"
P:GO:0005975,P:carbohydrate metabolic process
F:GO:0016791,F:phosphatase activity
F:GO:0009055,F:electron transfer activity
F:GO:0020037,F:heme binding
F:GO:0000166,F:nucleotide binding
F:GO:0004814,F:arginine-tRNA ligase activity
F:GO:0004820,F:glycine-tRNA ligase activity
F:GO:0005524,F:ATP binding
C:GO:0005737,C:cytoplasm
P:GO:0006420,P:arginyl-tRNA aminoacylation
P:GO:0006426,P:glycyl-tRNA aminoacylation
F:GO:0000166,F:nucleotide binding
F:GO:0004820,F:glycine-tRNA ligase activity
F:GO:0005524,F:ATP binding
C:GO:0005737,C:cytoplasm
P:GO:0006426,P:glycyl-tRNA aminoacylation
F:GO:0003824,F:catalytic activity
P:GO:0006281,P:DNA repair
P:GO:0006284,P:base-excision repair
F:GO:0008725,F:DNA-3-methyladenine glycosylase activity
C:GO:0016021,C:integral component of membrane
F:GO:0016740,F:transferase activity
F:GO:0035438,F:cyclic-di-GMP binding
P:GO:1990397,P:queuosine salvage
no IPS match,no IPS match
F:GO:0005515,F:protein binding
C:GO:0005886,C:plasma membrane
P:GO:0006813,P:potassium ion transport
F:GO:0008324,F:cation transmembrane transporter activity
F:GO:0015079,F:potassium ion transmembrane transporter activity
F:GO:0003723,F:RNA binding
P:GO:0006355,"P:regulation of transcription, DNA-templated"
P:GO:0006364,P:rRNA processing
F:GO:0008168,F:methyltransferase activity
F:GO:0008649,F:rRNA methyltransferase activity
F:GO:0003824,F:catalytic activity
F:GO:0004479,F:methionyl-tRNA formyltransferase activity
P:GO:0009058,P:biosynthetic process
F:GO:0016742,"F:hydroxymethyl-, formyl- and related transferase activity"
P:GO:0071951,P:conversion of methionyl-tRNA to N-formyl-methionyl-tRNA
no GO terms,no GO terms
no GO terms,no GO terms
P:GO:0009294,P:DNA mediated transformation
P:GO:0002949,P:tRNA threonylcarbamoyladenosine modification
F:GO:0003725,F:double-stranded RNA binding
F:GO:0005524,F:ATP binding
F:GO:0016491,F:oxidoreductase activity
P:GO:0055114,P:oxidation-reduction process
F:GO:0004109,F:coproporphyrinogen oxidase activity
P:GO:0006779,P:porphyrin-containing compound biosynthetic process
P:GO:0055114,P:oxidation-reduction process
F:GO:0004764,F:shikimate 3-dehydrogenase (NADP+) activity
P:GO:0019632,P:shikimate metabolic process
F:GO:0050661,F:NADP binding
P:GO:0055114,P:oxidation-reduction process
F:GO:0004629,F:phospholipase C activity
F:GO:0008270,F:zinc ion binding
F:GO:0016788,"F:hydrolase activity, acting on ester bonds"
F:GO:0003755,F:peptidyl-prolyl cis-trans isomerase activity
no GO terms,no GO terms
F:GO:0008271,F:secondary active sulfate transmembrane transporter activity
P:GO:0008272,P:sulfate transport
F:GO:0015116,F:sulfate transmembrane transporter activity
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
P:GO:0055085,P:transmembrane transport
P:GO:0015871,P:choline transport
F:GO:0022857,F:transmembrane transporter activity
F:GO:0033265,F:choline binding
C:GO:0042597,C:periplasmic space
C:GO:0043190,C:ATP-binding cassette (ABC) transporter complex
P:GO:0055085,P:transmembrane transport
F:GO:0003824,F:catalytic activity
F:GO:0008484,F:sulfuric ester hydrolase activity
F:GO:0003700,F:DNA-binding transcription factor activity
P:GO:0006355,"P:regulation of transcription, DNA-templated"
P:GO:0000160,P:phosphorelay signal transduction system
P:GO:0000160,P:phosphorelay signal transduction system
F:GO:0003824,F:catalytic activity
F:GO:0004834,F:tryptophan synthase activity
P:GO:0006568,P:tryptophan metabolic process
P:GO:0000162,P:tryptophan biosynthetic process
F:GO:0004834,F:tryptophan synthase activity
P:GO:0006568,P:tryptophan metabolic process
F:GO:0003700,F:DNA-binding transcription factor activity
P:GO:0006355,"P:regulation of transcription, DNA-templated"
no GO terms,no GO terms
no GO terms,no GO terms
P:GO:0015031,P:protein transport
no GO terms,no GO terms
no GO terms,no GO terms
C:GO:0016020,C:membrane
F:GO:0005096,F:GTPase activator activity
C:GO:0005576,C:extracellular region
P:GO:0009405,P:pathogenesis
C:GO:0030288,C:outer membrane-bounded periplasmic space
no GO terms,no GO terms
no GO terms,no GO terms
F:GO:0003677,F:DNA binding
F:GO:0043565,F:sequence-specific DNA binding
no GO terms,no GO terms
no IPS match,no IPS match
F:GO:0004066,F:asparagine synthase (glutamine-hydrolyzing) activity
P:GO:0006529,P:asparagine biosynthetic process
no GO terms,no GO terms
P:GO:0006388,"P:tRNA splicing, via endonucleolytic cleavage and ligation"
F:GO:0016772,"F:transferase activity, transferring phosphorus-containing groups"
F:GO:0016773,"F:phosphotransferase activity, alcohol group as acceptor"
no GO terms,no GO terms
F:GO:0003700,F:DNA-binding transcription factor activity
P:GO:0006355,"P:regulation of transcription, DNA-templated"
no GO terms,no GO terms
F:GO:0015035,F:protein disulfide oxidoreductase activity
F:GO:0004601,F:peroxidase activity
P:GO:0006979,P:response to oxidative stress
no GO terms,no GO terms
no GO terms,no GO terms
no GO terms,no GO terms
no GO terms,no GO terms
no IPS match,no IPS match
no GO terms,no GO terms
no GO terms,no GO terms
F:GO:0004222,F:metalloendopeptidase activity
P:GO:0006508,P:proteolysis
F:GO:0008233,F:peptidase activity
no GO terms,no GO terms
F:GO:0003824,F:catalytic activity
F:GO:0051536,F:iron-sulfur cluster binding
no GO terms,no GO terms
no GO terms,no GO terms
no GO terms,no GO terms
F:GO:0005524,F:ATP binding
F:GO:0016887,F:ATPase activity
F:GO:0004672,F:protein kinase activity
F:GO:0005524,F:ATP binding
P:GO:0006468,P:protein phosphorylation
F:GO:0003824,F:catalytic activity
F:GO:0004722,F:protein serine/threonine phosphatase activity
P:GO:0006470,P:protein dephosphorylation
no GO terms,no GO terms
no GO terms,no GO terms
no GO terms,no GO terms
no GO terms,no GO terms
no GO terms,no GO terms
F:GO:0005515,F:protein binding
no GO terms,no GO terms
no GO terms,no GO terms
no GO terms,no GO terms
no GO terms,no GO terms
F:GO:0005515,F:protein binding
no GO terms,no GO terms
no GO terms,no GO terms
no GO terms,no GO terms
F:GO:0005524,F:ATP binding
P:GO:0019538,P:protein metabolic process
no GO terms,no GO terms
no IPS match,no IPS match
no GO terms,no GO terms
no GO terms,no GO terms
no GO terms,no GO terms
no IPS match,no IPS match
no GO terms,no GO terms
F:GO:0003824,F:catalytic activity
no GO terms,no GO terms
no GO terms,no GO terms
no GO terms,no GO terms
F:GO:0004089,F:carbonate dehydratase activity
F:GO:0008270,F:zinc ion binding
F:GO:0008271,F:secondary active sulfate transmembrane transporter activity
P:GO:0008272,P:sulfate transport
F:GO:0015116,F:sulfate transmembrane transporter activity
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
P:GO:0055085,P:transmembrane transport
no IPS match,no IPS match
F:GO:0004129,F:cytochrome-c oxidase activity
F:GO:0005507,F:copper ion binding
F:GO:0009055,F:electron transfer activity
C:GO:0016020,C:membrane
C:GO:0016021,C:integral component of membrane
F:GO:0016491,F:oxidoreductase activity
F:GO:0020037,F:heme binding
P:GO:0022900,P:electron transport chain
F:GO:0004129,F:cytochrome-c oxidase activity
C:GO:0005886,C:plasma membrane
P:GO:0009060,P:aerobic respiration
P:GO:0015990,P:electron transport coupled proton transport
C:GO:0016021,C:integral component of membrane
F:GO:0020037,F:heme binding
C:GO:0045277,C:respiratory chain complex IV
P:GO:0055114,P:oxidation-reduction process
F:GO:0005507,F:copper ion binding
F:GO:0004129,F:cytochrome-c oxidase activity
F:GO:0015002,F:heme-copper terminal oxidase activity
C:GO:0016020,C:membrane
P:GO:0019646,P:aerobic electron transport chain
P:GO:0022904,P:respiratory electron transport chain
no GO terms,no GO terms
C:GO:0016020,C:membrane
no IPS match,no IPS match
P:GO:0006784,P:heme a biosynthetic process
C:GO:0016021,C:integral component of membrane
F:GO:0016627,"F:oxidoreductase activity, acting on the CH-CH group of donors"
P:GO:0055114,P:oxidation-reduction process
F:GO:0008495,F:protoheme IX farnesyltransferase activity
C:GO:0016021,C:integral component of membrane
F:GO:0016765,"F:transferase activity, transferring alkyl or aryl (other than methyl) groups"
P:GO:0048034,P:heme O biosynthetic process
P:GO:0045454,P:cell redox homeostasis
