id_ccbh,seq_name,description,length
PA4851_00005,|PA4851_00005||chromosome|,DNAA_PSEAEChromosomal replication initiator protein DnaA OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=dnaA PE=3 SV=1,514
PA4851_00010,|PA4851_00010||DNA|,DPO3B_PSEAEBeta sliding clamp OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=dnaN PE=1 SV=1,367
PA4851_00015,|PA4851_00015||DNA|,RECF_PSEAEDNA replication and repair protein RecF OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=recF PE=3 SV=1,369
PA4851_00020,|PA4851_00020||DNA|,GYRB_PSEAEDNA gyrase subunit B OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=gyrB PE=3 SV=1,806
PA4851_00025,|PA4851_00025||transposase||COORDINATES_|,INSN_SHIDYTransposase InsN for insertion sequence element IS911 OS=Shigella dysenteriae OX=622 GN=insN PE=3 SV=1,102
PA4851_00030,|PA4851_00030||transposase||COORDINATES_|,INSO2_ECOLIPutative transposase InsO for insertion sequence element IS911B OS=Escherichia coli (strain K12) OX=83333 GN=insO2 PE=5 SV=1,206
PA4851_00035,|PA4851_00035||hypothetical|,---NA---,68
PA4851_00040,|PA4851_00040||helicase||COORDINATES_|,YQHH_BACSUUncharacterized ATP-dependent helicase YqhH OS=Bacillus subtilis (strain 168) OX=224308 GN=yqhH PE=3 SV=1,945
PA4851_00045,|PA4851_00045||hypothetical|,---NA---,738
PA4851_00050,|PA4851_00050||hypothetical|,---NA---,71
PA4851_00055,|PA4851_00055||lysophosphatidic|,"LPAT1_BRANA1-acyl-sn-glycerol-3-phosphate acyltransferase 1, chloroplastic OS=Brassica napus OX=3708 GN=LPAT1 PE=2 SV=1",257
PA4851_00060,|PA4851_00060||D-glycero-beta-D-manno-heptose-1_7-bisphosphate|,"GMHBB_PSEAED-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=gmhB PE=3 SV=1",178
PA4851_00065,|PA4851_00065||hypothetical|,Y4IJ_SINFNUncharacterized protein y4iJ OS=Sinorhizobium fredii (strain NBRC 101917 / NGR234) OX=394 GN=NGR_a03230 PE=4 SV=1,568
PA4851_00070,|PA4851_00070||glycine--tRNA|,SYGB_PSEA8Glycine--tRNA ligase beta subunit OS=Pseudomonas aeruginosa (strain LESB58) OX=557722 GN=glyS PE=3 SV=1,684
PA4851_00075,|PA4851_00075||glycine--tRNA|,SYGA_PSEAEGlycine--tRNA ligase alpha subunit OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=glyQ PE=3 SV=1,315
PA4851_00080,|PA4851_00080||DNA-3-methyladenine|,3MG1_ECOLIDNA-3-methyladenine glycosylase 1 OS=Escherichia coli (strain K12) OX=83333 GN=tag PE=1 SV=1,183
PA4851_00085,|PA4851_00085||lipid|,LPXL_ECOLILipid A biosynthesis lauroyltransferase OS=Escherichia coli (strain K12) OX=83333 GN=lpxL PE=1 SV=1,295
PA4851_00090,|PA4851_00090||hypothetical|,---NA---,88
PA4851_00095,|PA4851_00095||hypothetical|,QPTR_ECOLIQueuosine precursor transporter OS=Escherichia coli (strain K12) OX=83333 GN=yhhQ PE=1 SV=1,217
PA4851_00100,|PA4851_00100||hypothetical|,---NA---,90
PA4851_00105,|PA4851_00105||hypothetical|,Y015_PSEAETPR repeat-containing protein PA0015 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA0015 PE=4 SV=1,105
PA4851_00110,|PA4851_00110||potassium|,TRKA_HALEDTrk system potassium uptake protein TrkA OS=Halomonas elongata (strain ATCC 33173 / DSM 2581 / NBRC 15536 / NCIMB 2198 / 1H9) OX=768066 GN=trkA PE=3 SV=1,457
PA4851_00115,|PA4851_00115||Ribosomal|,RSMB_PSEAERibosomal RNA small subunit methyltransferase B OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=rsmB PE=3 SV=1,434
PA4851_00120,|PA4851_00120||methionyl-tRNA|,FMT_PSEAEMethionyl-tRNA formyltransferase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=fmt PE=1 SV=1,314
PA4851_00125,|PA4851_00125||peptide|,DEF_PSEAEPeptide deformylase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=def PE=1 SV=1,168
PA4851_00130,|PA4851_00130||hypothetical|,XKDP_BACSUPhage-like element PBSX protein XkdP OS=Bacillus subtilis (strain 168) OX=224308 GN=xkdP PE=4 SV=2,341
PA4851_00135,|PA4851_00135||hypothetical|,DPRA_HAEINDNA-processing protein A OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) OX=71421 GN=dprA PE=3 SV=1,362
PA4851_00140,|PA4851_00140||threonylcarbamoyl-AMP|,TSAC_PSEAEThreonylcarbamoyl-AMP synthase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=tsaC PE=3 SV=1,185
PA4851_00145,|PA4851_00145||oxygen-dependent|,QOR_PSEAEQuinone oxidoreductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=qor PE=3 SV=2,325
PA4851_00150,|PA4851_00150||coproporphyrinogen|,HEM6_PSEAEOxygen-dependent coproporphyrinogen-III oxidase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=hemF PE=3 SV=1,305
PA4851_00155,|PA4851_00155||shikimate|,AROE_PSEAEShikimate dehydrogenase (NADP(+)) OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=aroE PE=3 SV=3,274
PA4851_00160,|PA4851_00160||phospholipase|,---NA---,328
PA4851_00165,|PA4851_00165||hypothetical|,PRSA_GEOSWFoldase protein PrsA OS=Geobacillus sp. (strain WCH70) OX=471223 GN=prsA PE=3 SV=1,428
PA4851_00170,|PA4851_00170||hypothetical|,---NA---,200
PA4851_00175,|PA4851_00175||sulfate|,SUT35_ARATHProbable sulfate transporter 3.5 OS=Arabidopsis thaliana OX=3702 GN=SULTR3;5 PE=2 SV=1,517
PA4851_00180,|PA4851_00180||hypothetical|,OPUAC_BACSUGlycine betaine-binding protein OpuAC OS=Bacillus subtilis (strain 168) OX=224308 GN=opuAC PE=1 SV=1,307
PA4851_00185,|PA4851_00185||choline|,BETC_RHIMECholine-sulfatase OS=Rhizobium meliloti (strain 1021) OX=266834 GN=betC PE=1 SV=2,503
PA4851_00190,|PA4851_00190||transcriptional|,AMPR_RHOCAHTH-type transcriptional activator AmpR OS=Rhodobacter capsulatus OX=1061 GN=ampR PE=4 SV=1,304
PA4851_00195,|PA4851_00195||hypothetical|,---NA---,121
PA4851_00200,|PA4851_00200||two-component|,TRPO_PSEAEPutative transcriptional regulator OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=PA0034 PE=1 SV=2,209
PA4851_00205,|PA4851_00205||tryptophan|,TRPA_PSEAETryptophan synthase alpha chain OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=trpA PE=3 SV=3,268
PA4851_00210,|PA4851_00210||tryptophan|,TRPB_PSEAETryptophan synthase beta chain OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=trpB PE=3 SV=2,402
PA4851_00215,|PA4851_00215||HTH-type|,TRPI_PSEAEHTH-type transcriptional regulator TrpI OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=trpI PE=1 SV=2,295
PA4851_00220,|PA4851_00220||hypothetical|,DODEC_HALHLDodecin OS=Halorhodospira halophila (strain DSM 244 / SL1) OX=349124 GN=Hhal_0546 PE=1 SV=1,71
PA4851_00225,|PA4851_00225||hypothetical|,YNFD_ECOLIUncharacterized protein YnfD OS=Escherichia coli (strain K12) OX=83333 GN=ynfD PE=1 SV=2,75
PA4851_00230,|PA4851_00230||hypothetical|,CDIB_DICD3Outer membrane transporter CdiB OS=Dickeya dadantii (strain 3937) OX=198628 GN=cdiB PE=3 SV=1,562
PA4851_00235,|PA4851_00235||filamentous|,CDIA_ENTCC16S rRNA endonuclease CdiA OS=Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 / NBRC 13535 / NCDC 279-56) OX=716541 GN=cdiA PE=1 SV=1,3510
PA4851_00240,|PA4851_00240||hypothetical|,---NA---,131
PA4851_00245,|PA4851_00245||hypothetical|,Y1828_AQUAEUncharacterized protein aq_1828 OS=Aquifex aeolicus (strain VF5) OX=224324 GN=aq_1828 PE=4 SV=1,417
PA4851_00250,|PA4851_00250||exoenzyme|,AEXT_AERSAADP-ribosyltransferase toxin AexT OS=Aeromonas salmonicida OX=645 GN=aexT PE=3 SV=1,457
PA4851_00255,|PA4851_00255||hypothetical|,Y1126_NEIMBPutative lipoprotein NMB1126/NMB1164 OS=Neisseria meningitidis serogroup B (strain MC58) OX=122586 GN=NMB1126 PE=1 SV=1,228
PA4851_00260,|PA4851_00260||hypothetical|,---NA---,117
